getEligibleFacts|Filter the active single-deck or combined pool using current session direction. The scheduler and Cold Test must share this selection boundary.
siblingFact|Resolve the reverse direction of the same source card, retaining deckId. Cross-direction evidence must never leak into another deck with the same card ID.
sanitizeCardId|Normalize card identifiers and remove reserved vertical bars; the bar separates card ID from direction in stored fact IDs. Keep supplied stable IDs whenever possible.
normalizeDeckId|Normalize the externally supplied deck identity used by import/update. Do not derive a replacement ID merely because the display name or unit changes.
slugify|Create a filename/name fragment from text. Slugs are presentation/import helpers, not a replacement for existing persisted IDs.
fnv1a|Compute the small deterministic hash used by generated card IDs. This is a collision-prone identity helper, not a security or integrity hash.
generatedCardId|Derive a fallback ID from front/back content when an import has no explicit ID. Editing either side changes this generated identity; curated deck updates should supply stable card IDs.
uniqueDeckId|Create a new real-deck/copy ID for independent ownership and progress. Do not call for in-place updates that should retain mastery.
deepClone|Use structuredClone to snapshot supported in-memory data. Sessions can contain Sets, so JSON serialization is not an interchangeable clone at every call site.
makeFreshSession|Create runtime-only counters, cooldowns, recent pairs, undo history, typing state, and Cold Test queue. Persistent evidence remains in real decks in all modes.
serializeSessionData|Convert the resumable portion of session to JSON-friendly fields, including namespaced keys. Deliberately excludes undo history to limit snapshot growth; currentFactId is retained for legacy compatibility.
storeCurrentSession|Save the resume snapshot to appState.studySet or the selected deck according to context. This only mutates local state; persistState handles the actual localStorage write.
normalizeLegacySessionKey|Upgrade old unqualified session identifiers by prefixing a fallback deck ID. Already qualified keys are retained; do not change the delimiter without migrating saved sessions.
restoreSessionSnapshot|Validate snapshot age/mode/current key, convert legacy keys/Sets and restore runtime state. Returns false when unusable; it can partially mutate session/mode before a later check fails, so callers must rebuild on failure.
restoreSessionForDeck|Attempt to resume the given real deck's snapshot with its own ID as the legacy-key namespace.
restoreStudySetSession|Attempt to resume selection-scoped runtime state without copying source decks or evidence. Return false when the set is not active.
clearSessionState|Clear only the active context's resume snapshot. Completed Cold Tests call persistState with includeSession=false so this clear is not immediately undone.
clamp|Bound a number inclusively; this does not sanitize NaN. Validate untrusted persisted/imported values before numeric use.
randomInt|Return a uniformly sampled integer including both endpoints, used for served-card cooldown lengths rather than wall-clock timing.
shuffleArray|Fisher-Yates shuffle in place and return the same array. Pass a copy when the original ordering must remain intact.
normalizeAnswer|Trim, lowercase and collapse whitespace for typed-answer equality/prefix matching. Accents, spelling, and punctuation are not removed; do not confuse this with class-name normalization.
localDateKey|Format a LOCAL calendar date for daily evidence/goals. Do not replace with a UTC ISO slice without deliberately migrating day-boundary semantics.
daysSince|Return nonnegative elapsed days for a timestamp or null when absent/invalid. Used for evidence freshness/priority, not passive mastery decay.
daysUntilDeadline|Read the source deck's local end-of-day deadline and return nonnegative days remaining. Study sets use each fact owner's deadline rather than overwriting all source decks.
formatRelativeReview|Render an evidence timestamp for the statistics UI; it does not modify evidence.
evidenceFreshnessLabel|Describe the age of a fact's last direct review. Freshness is separate from mastery and should not be shown as lost knowledge.
directionDisplay|Map persisted direction codes to UI labels without changing card data or fact identity.
modeDisplay|Map runtime mode codes to UI labels. Keep persisted codes stable even when wording changes.
escapeHtml|Escape untrusted/user-authored strings before insertion into HTML templates. Prefer textContent for new elements; do not interpolate raw imported deck text.
factMastery|Compute 100*alpha/(alpha+beta) for a directional record. Explicit deck context is required in combined sessions; this score is NOT a normalized probability of being shown next.
factDirectAttempts|Count direct right/wrong responses only, excluding transferred sibling evidence. Coverage and uncertainty depend on actual reviews, not inferred successes.
evidenceWeight|Select evidence strength from grading source and typed/autocomplete assistance. Changes affect all future mastery updates and need behavioral tests, not only UI checks.
recordPersistentResult|Update the fact's REAL deck: alpha/beta, direct/typed/self counters, last review, lifetime totals and daily evidence. Correct answers transfer 10% positive evidence only to the sibling direction, without marking it directly reviewed; all modes call this path.
recordDailyEvidence|Record one direct result under local date and per-deck fact ID, pruning daily evidence to 120 date entries. A study set passes the owning deck explicitly.
percentile|Linearly interpolate a percentile from an already sorted numeric array; callers must sort first.
knowledgeMetrics|Aggregate mastery as 65% mean plus 35% twentieth percentile, with weak/tested counts. Resolve each fact's owner when no explicit deck is supplied; do not average scheduler probabilities as a proxy for knowledge.
dailyGoalKey|Key a per-deck daily goal by local date, selected direction and deadline. A changed deadline/direction selects another goal rather than rewriting the old baseline.
getOrCreateDailyGoal|Create and persist a knowledge-plus-sampling target from current mastery and deadline, or return the existing daily baseline. This mutates/saves state; call only after runtime initialization and in a single-deck goal context.
todayUniqueFacts|Return directly attempted fact IDs for today, restricted to the active direction. Shown-but-unanswered cards are not daily evidence.
memoryGoalStatus|Compute not/mostly/complete from knowledge gain and direct coverage against the stored daily goal. It is informational, never a gate preventing further study; the set UI hides this single-deck goal.
