baseMasteryNeed|Give every eligible fact a positive baseline from its stored mastery. Both Cram and Memory use this; Cram omits elapsed-time and deadline factors, not historical evidence altogether.
freshnessFactor|Increase Memory priority based on elapsed review age and current evidence-derived mastery. It reads timestamps without reducing alpha/beta while the user is away.
deadlineFactor|Increase Memory priority from the REAL deck's deadline, weakness and staleness. It never makes a well-known fact permanently ineligible.
runtimeForFact|Create/read transient cooldown and miss-boost state by namespaced session key. This runtime object must not become persistent mastery.
displayPriority|Compute the positive base weighting shown in the UI, including miss boost and Memory-only freshness/deadline factors. It excludes temporary rest/no-repeat suppressions; it is not the actual draw probability.
adaptivePriority|Apply temporary rests, skips and recent-pair suppression to displayPriority. Uses servedCount, not response duration; zero here means temporarily withheld, not forgotten/deleted.
weightedRandomFact|Draw across eligible facts with adaptive weights; retry ignoring rest if all are withheld, then fall back to the first fact if no weight remains. No-repeat is best-effort in exhausted/single-pair pools; do not document it as an absolute guarantee.
recordServed|Advance servedCount, track up to five recent real-card pairs, and add the shown directional key to session.unique. This is shown-card coverage, not answered-card coverage.
updateRuntimeAfterResult|Relax miss boost after success or apply a randomized 4-7-served-card rest and bounded boost after failure. Waiting in real time must not strengthen the penalty.
skipAdaptiveFact|Defer this namespaced fact for three served-card steps without recording a right/wrong result or changing mastery.
cloneSessionWithoutHistory|Snapshot runtime state while cloning Sets/queues and excluding recursive history. Used for undo, not JSON export.
saveUndoPoint|Snapshot only the current fact owner's real deck plus current runtime before a grade/skip, retaining at most 80 points. In multi-deck study never snapshot evidence into a synthetic set deck.
restoreUndoPoint|Restore the saved owner deck and runtime/current fact, preserving the remaining undo stack. Normalization and persistence follow; this is local snapshot undo, not a cloud-safe inverse event.
constrainedPairShuffle|Shuffle directional facts while avoiding adjacent directions of one real card when alternatives exist. The 10,000-iteration safety cap and fallback behavior remain implementation limits.
buildColdOrder|Create a once-through queue of namespaced eligible fact keys. Shuffle constraints apply when enabled; Both without shuffle groups front-direction then back-direction facts.
startMode|Set the context's mode, try a compatible snapshot when requested, otherwise create a fresh runtime/queue and first fact. Persists and renders after initialization; it does not clear underlying mastery.
nextAdaptiveFact|Select/record another weighted fact, reset typed state, persist, and render using the protected handoff. A missing pool leaves currentFact null.
nextColdFact|Advance the Cold Test queue, or complete the test at its end. Queues contain namespaced keys, not bare card IDs.
finishColdTest|Render combined totals and append each real deck's own subset to its Cold Test history (up to 100). Clear the context snapshot without recreating it; study sets do not own result histories.
visibleSide|Return the logical CSS flip target, not a measured in-flight angle. Front/back here mean currently prompted face/answer face, independent of the card's stored study direction.
clearMotionTimer|Cancel scheduled visual cleanup before replacing/interruption of a card animation.
clearFlipGuardTimer|Cancel the short input-guard timer so stale callbacks cannot unlock a newer transition.
setTransitionLock|Synchronize isTransitioning with disabled action/settings controls. Keep click/tap handlers and keyboard guards consistent; this is an input lock, not the full animation duration.
beginShortFlipGuard|Lock input for FLIP_GUARD_MS (20% of the 520 ms motion), token-guarding the unlock. Preserve fast grading while filtering accidental repeats.
freezeCardAtCurrentTransform|Capture the computed transform, remove transition, and force layout to start interruptions from the actual drawn angle. Do not substitute the logical flipped flag for this matrix.
finishInlineCardMotion|Clean inline transform/transition only when its token is still current. An obsolete timer must not snap a newer animation.
scheduleMotionCleanup|Replace the visual cleanup timeout with a token-protected callback after the motion settles.
setCardSideImmediately|Cancel old timers/tokens and reset the logical face without animation, then unlock input. Used for first render, new modes, and explicit immediate resets.
updateCardTextFit|Reset inline text size and choose a length-based mobile CSS tier for one face. It is presentation-only and must never truncate or alter card content.
enforceMobileCardFit|Measure available face height and shrink overflowing text in bounded steps, with a 12px floor. It is a best-effort fit, not a guarantee for arbitrarily large text or accessibility scaling.
updateCardTextFits|Apply text tiers now and measure both faces on the next animation frame. Resize and fact rendering call this; preserve deferred layout measurement.
setMobileOptionsOpen|Toggle the phone-only options sheet, backdrop, body marker and aria-expanded together. Desktop control arrangement is handled by CSS.
closeMobileOptions|Close the options sheet through the shared state/ARIA update path.
renderCurrentFact|Render the current namespaced fact or perform a timed edge-on content handoff. Keep the OLD text until the swap, reset the new logical face to prompt, and token-guard every callback. The 104ms swap is timer-based; validate under slow frames rather than assuming a measured transitionend.
animateSameCardToSide|Reverse/continue a same-card rotation from its computed angle while using only the short input guard. Does not change fact identity or score anything.
flipCurrentCard|Flip the current logical face unless locked/missing or typed recall is still unanswered. A reveal is not a grading action.
resultMeta|Describe mode and answer assistance for evidence weighting. Current behavior marks typed answers assisted whenever autocomplete is enabled, even without clicking a suggestion; preserve/document that policy explicitly.
recordSessionResult|Increment session counters and write the result to the REAL owner via recordPersistentResult. Then update adaptive runtime or append a deck-qualified Cold Test result; callers provide undo and advancement.
gradeSelf|Guard, snapshot undo, record a self-grade, and advance with UI/stat updates. Both visible buttons and arrow keys must invoke this same path.
submitTypedAnswer|Compare normalized input to current answer, record exactly once, and reveal feedback without immediately advancing. Saves an undo point; assistance metadata controls evidence weight.
